Inst	Prob	Traces	T.Time	S.Time	CPU Time 
0 	 1 	 4782969 	 1052.675s 	 1052.66s 	 63.210s
1 	 0.903069 	 3188646 	 697.513s 	 697.50s 	 41.980s
2 	 0.826384 	 2125764 	 460.383s 	 460.37s 	 27.600s
3 	 0.750819 	 1417176 	 304.640s 	 304.63s 	 18.480s
4 	 0.686587 	 944784 	 202.320s 	 202.31s 	 12.360s
5 	 0.625903 	 629856 	 133.592s 	 133.58s 	 8.140s
6 	 0.56631 	 419904 	 88.654s 	 88.65s 	 5.400s
7 	 0.500558 	 279936 	 58.006s 	 58.00s 	 3.580s
8 	 0.446263 	 186624 	 38.557s 	 38.54s 	 2.390s
9 	 0.415512 	 124416 	 25.740s 	 25.73s 	 1.610s
10 	 0.384916 	 82944 	 17.020s 	 17.01s 	 1.100s
11 	 0.341692 	 55296 	 11.066s 	 11.06s 	 0.710s
12 	 0.299332 	 36864 	 7.314s 	 7.30s 	 0.480s
13 	 0.264459 	 24576 	 4.837s 	 4.83s 	 0.330s
14 	 0.237802 	 16384 	 3.203s 	 3.19s 	 0.210s
