Query: holds(((taskCorrect,true),I)) for I=0,...,12. 

Inst	Prob	Traces	T.Time	S.Time	CPU Time 
0 	 1 	 2257540 	 188.490s 	 188.48s 	 136.392s
1 	 0.5 	 775112 	 65.776s 	 65.77s 	 47.294s
2 	 0.25 	 269670 	 24.755s 	 24.75s 	 18.203s
3 	 0.1883 	 422816 	 39.523s 	 39.51s 	 29.003s
4 	 0.09415 	 142906 	 11.540s 	 11.53s 	 7.981s
5 	 0.45649 	 1238586 	 99.799s 	 99.79s 	 68.365s
6 	 0.673894 	 1786426 	 143.779s 	 143.77s 	 101.235s
7 	 0.804336 	 2060346 	 163.036s 	 163.03s 	 117.825s
8 	 0.865851 	 1381876 	 110.960s 	 110.95s 	 77.776s
9 	 0.71754 	 1104140 	 87.780s 	 87.77s 	 62.020s
10 	 0.640668 	 967928 	 77.234s 	 77.22s 	 53.249s
11 	 0.784401 	 1681868 	 133.183s 	 133.17s 	 92.746s
12 	 0.627492 	 560628 	 46.447s 	 46.44s 	 33.375s
