Query: holds(((engagement,true),I)) for I=0,...,12. 

Inst	Prob	Traces	T.Time	S.Time	CPU Time 
0 	 1 	 2257540 	 178.749s 	 178.74s 	 125.607s
1 	 0.7 	 1550224 	 126.343s 	 126.33s 	 88.903s
2 	 0.49 	 1078680 	 89.851s 	 89.84s 	 63.114s
3 	 0.334624 	 877714 	 69.495s 	 69.49s 	 48.263s
4 	 0.234237 	 593920 	 48.201s 	 48.19s 	 33.947s
5 	 0.540542 	 1464320 	 116.825s 	 116.82s 	 81.803s
6 	 0.724325 	 1899520 	 152.859s 	 152.85s 	 106.763s
7 	 0.834595 	 2117120 	 173.439s 	 173.43s 	 122.099s
8 	 0.894373 	 1859364 	 149.028s 	 149.02s 	 101.149s
9 	 0.875141 	 1699864 	 143.964s 	 143.95s 	 101.977s
10 	 0.868698 	 1566120 	 122.859s 	 122.83s 	 85.137s
11 	 0.921219 	 1980972 	 152.313s 	 152.30s 	 103.837s
12 	 0.893582 	 1320648 	 104.121s 	 104.11s 	 72.440s
